Year,AZ__PDSI,CA__PDSI,CO__PDSI,KS__PDSI,NV__PDSI,NM__PDSI,TX__PDSI,UT__PDSI,AZ__T,CA__T,CO__T,KS__T,NV__T,NM__T,TX__T,UT__T,AZ__dT,CA__dT,CO__dT,KS__dT,NV__dT,NM__dT,TX__dT,UT__dT,AZ__P,CA__P,CO__P,KS__P,NV__P,NM__P,TX__P,UT__P,AZ__dP,CA__dP,CO__dP,KS__dP,NV__dP,NM__dP,TX__dP,UT__dP
40,-2.406,-0.182,-1.702,-1.08054,-3.061,-1.931,-0.07927,-3.214,16.2025,15.22121,7.51345,12.26952,9.90954,12.2946,18.19375,9.36619,-0.52188,0.2216,-0.26555,0.34587,-0.03164,-0.61441,-0.02787,-0.29214,202.30923,367.04214,323.60413,609.48975,161.46561,255.09871,617.30896,200.90926,124.68078,126.44704,30.11017,-102.36935,38.82716,103.24094,-76.70098,48.21401
41,-1.927,0.706,-1.96,0.65387,-1.363,-1.963,-0.9508,-0.844,15.28673,14.90625,6.89158,12.43526,9.83867,11.69289,18.18545,9.00437,-0.41068,-0.02565,-0.34003,-0.0641,-0.22696,-0.58475,-0.41056,-0.50097,282.32645,466.72357,319.80676,598.99213,184.16336,356.82239,733.54468,225.87373,-3.30786,163.10651,74.1882,295.52817,49.61069,-61.7474,71.06351,72.07944
42,-2.667,-4.192,-2.083,-0.35112,-2.018,-2.259,0.42139,-1.45,15.20374,14.93537,7.49355,12.86584,9.90056,11.76145,18.06993,9.10281,-0.38484,-0.44526,-0.67873,-0.45713,-0.69066,-0.28553,0.10513,-0.77933,246.08473,346.099,329.65195,528.14417,175.08517,252.0872,666.11737,211.77498,60.37803,230.66856,9.93204,30.99688,55.79234,46.35759,-55.01875,62.85819
43,-0.979,-1.526,1.764,1.78109,-3.273,0.802,2.942,-3.226,14.91797,15.10027,6.33233,11.46169,9.55799,11.49132,18.04622,8.27002,-0.3254,-0.31779,0.16182,0.7476,-0.24998,0.06096,0.69426,-0.1041,212.24904,411.43051,357.20978,654.18384,132.38489,266.12836,574.55859,220.44582,159.69806,13.08147,138.9581,113.48081,80.56664,125.16042,248.74057,80.52019
44,-3.561,-2.853,-2.607,-1.08453,-5.007,-2.693,0.33969,-5.138,16.51153,15.35454,7.47439,11.83045,9.95975,12.49268,18.16043,9.33944,-0.74235,0.06794,-0.18182,0.69881,-0.10247,-0.86347,-0.10341,-0.30965,190.16435,430.8544,309.01733,650.8576,176.62726,263.20325,631.09607,193.3062,128.86705,-37.74939,61.96022,-72.82048,10.83718,121.46597,-21.40147,66.33112
45,-1.52,-0.685,-0.861,0.57301,-1.793,-1.115,2.19473,-0.993,14.9357,15.01032,6.52977,11.49032,9.58393,11.54481,17.85802,8.43296,-0.5676,-0.42417,-0.02865,0.82446,-0.47455,-0.15956,0.61759,-0.31448,234.53003,431.6774,328.13544,548.73395,142.44676,267.02847,597.18945,220.24046,168.40973,19.07628,173.21329,238.78362,103.00693,148.39853,223.20566,105.79187
46,-0.796,-1.672,0.289,1.52463,-1.556,-0.127,3.29757,-0.543,14.75328,15.02579,6.29115,11.30751,9.50063,11.49761,17.94046,8.11733,-0.55323,-0.29728,0.10689,0.95108,-0.34127,-0.21455,0.53146,-0.13698,213.59731,431.63095,348.23947,615.94202,140.38173,261.76688,573.51056,220.4726,186.80399,-6.16717,165.09419,173.55109,96.76826,196.44791,330.03851,94.65512
47,-2.802,-0.642,-2.888,-1.78462,-2.249,-2.744,-2.21005,-1.904,16.21098,15.33427,7.69319,12.79124,9.59812,12.59486,19.04141,9.65849,-1.32205,-0.68778,-1.0833,-0.72175,-0.73802,-0.73578,-0.12318,-1.32007,221.80191,409.4505,335.6048,471.0799,147.40462,205.27151,481.17596,225.6559,95.39886,525.84637,125.78368,224.09216,88.56475,73.93652,53.49771,136.85956
48,-3.417,-1.152,-2.325,-1.86668,-3.361,-2.639,0.1047,-3.098,16.57444,15.32131,7.40655,11.83266,9.83258,12.39344,17.9905,9.39057,-0.62822,0.44316,-0.0968,0.81643,0.26924,-0.7752,0.04141,-0.11239,194.0654,361.93115,313.39423,644.87604,169.43335,261.25006,620.11749,187.32028,128.8905,48.6792,45.30299,-144.27858,18.58866,128.9677,-94.67274,52.39687
49,-4.12,-0.378,-3.272,-1.748,-4.028,-3.457,-3.37988,-3.812,15.83456,14.87809,7.7887,13.03525,9.87312,12.37301,18.92246,9.27663,-0.83695,-0.24186,-0.56318,-0.37489,-0.63476,-0.69246,-0.36681,-0.8932,181.96089,450.23325,287.05753,466.28436,166.46422,201.33798,453.53854,189.8358,99.99735,62.71267,65.08251,108.22171,37.45546,92.24936,136.01039,68.2243
